x0,x1,x2,x3,x4,x5,x6,x7,t0,t1,t2,t3,t4,t5,t6,t7
74,72,72,72,71,72,76,74,67,67,66,67,67,67,67,67
74,72,71,69,67,69,69,71,65,64,64,64,64,64,66,68
72,74,72,71,72,71,69,72,69,71,69,69,69,68,64,64
67,67,69,71,72,74,76,74,64,62,60,62,64,65,67,67
72,72,72,71,72,76,74,74,67,66,67,67,67,67,67,65
72,71,69,67,69,69,71,72,64,64,64,64,64,66,68,69
74,72,71,72,71,69,76,77,71,69,69,69,68,64,69,69
76,74,76,74,72,74,76,69,69,69,68,68,64,69,67,65
76,77,76,74,74,76,74,72,64,69,69,69,67,67,67,67
74,76,69,72,71,71,69,67,69,71,64,67,67,66,64,64
67,72,72,72,71,72,67,69,62,67,65,64,62,64,64,66
71,72,74,76,74,72,71,71,68,69,69,64,69,69,69,68
69,68,68,64,71,72,74,72,65,65,64,69,68,69,71,71
72,69,71,69,69,65,65,67,69,71,68,64,64,64,62,61
62,62,57,65,67,67,62,64,57,57,64,62,62,60,58,60
65,65,67,67,69,69,69,74,62,57,62,60,60,65,67,69
74,73,73,74,76,64,72,72,70,70,69,69,64,74,64,65
65,71,69,71,72,72,69,65,71,64,64,65,65,64,65,70
73,74,73,71,73,74,76,78,66,66,66,67,69,69,67,66
78,76,74,73,76,74,74,73,68,70,71,70,73,71,69,67
74,71,71,69,66,67,69,67,69,67,66,64,62,64,66,64
67,66,73,74,73,71,73,74,62,61,66,66,66,67,69,69
76,78,78,76,74,73,76,74,67,66,68,70,71,70,73,71
74,73,73,74,71,71,69,66,69,67,69,69,67,66,64,62
67,69,67,67,66,69,67,66,64,66,64,62,61,61,62,62
73,78,76,74,73,74,76,71,66,69,68,68,69,69,64,64
69,69,67,67,66,64,69,69,64,62,64,61,62,61,61,63
71,73,74,76,76,74,74,73,64,64,66,67,66,66,68,69
71,74,73,73,71,69,67,66,68,66,64,66,67,66,64,62
67,69,67,66,66,66,66,66,62,64,64,64,62,62,61,59
67,67,69,71,72,72,74,74,62,64,66,67,66,64,62,66
76,76,74,76,78,79,74,71,71,69,66,69,69,67,69,67
71,73,74,72,69,71,72,71,66,64,66,64,62,62,60,62
69,69,67,66,67,67,69,71,62,60,59,62,61,59,57,62
69,69,67,66,66,64,64,62,64,64,64,64,62,62,61,57
67,67,69,71,72,74,76,76,62,64,66,67,67,65,64,66
67,67,67,67,66,70,70,69,62,62,62,61,62,67,65,63
69,67,66,66,66,66,67,64,62,64,62,62,60,62,62,60
66,66,66,67,69,69,72,69,60,63,62,62,65,65,67,65
74,74,74,74,69,71,73,74,69,62,62,64,66,66,67,69
73,71,69,74,73,71,69,71,69,68,64,71,64,62,61,59
74,69,71,73,74,73,71,69,64,66,66,67,69,69,68,64
74,73,71,69,71,67,66,64,71,64,62,61,59,61,62,62
73,74,74,73,71,71,69,71,66,66,68,69,69,68,64,67
71,69,69,71,69,67,66,74,67,63,64,66,66,64,63,66
73,73,71,71,69,69,71,69,66,64,62,64,66,64,62,62
72,72,71,71,71,69,64,69,63,64,66,64,62,60,59,64
71,71,71,69,72,72,71,67,66,64,62,60,64,66,67,62
67,69,65,64,72,71,72,74,62,64,62,61,62,62,62,67
72,72,71,69,69,71,64,65,67,66,67,67,66,67,67,62
69,69,71,72,74,71,71,72,64,64,64,64,62,62,67,66
69,71,72,74,71,71,72,74,64,64,64,62,62,67,66,67
72,74,76,72,74,74,72,71,69,67,67,69,69,67,66,67
71,72,74,76,72,74,74,74,67,67,65,64,69,69,67,66
62,69,69,71,73,74,74,74,57,62,62,62,67,67,66,64
74,78,78,76,74,74,73,74,66,69,71,73,71,71,69,69
62,69,69,71,73,74,74,74,57,62,62,62,67,67,66,64
74,78,78,76,74,74,73,74,66,69,71,73,71,71,69,69
74,76,78,78,78,76,76,76,69,69,74,74,73,71,68,69
74,73,71,73,69,73,74,74,71,64,66,68,66,69,69,68
73,71,71,69,69,66,67,69,69,69,68,64,64,62,62,62
71,71,69,69,67,66,66,69,62,64,66,66,64,64,63,62
65,67,69,70,72,72,74,74,60,60,65,64,65,69,70,69
76,77,65,67,69,70,72,72,67,69,60,60,65,67,67,65
70,70,69,67,69,65,65,70,65,64,65,64,64,64,62,62
70,69,67,67,65,65,67,69,64,65,65,64,60,60,60,65
70,72,72,74,74,76,77,65,64,65,69,70,69,67,69,60
67,69,70,72,72,70,70,69,60,65,67,67,65,65,64,65
67,69,65,65,70,70,69,67,64,64,64,62,62,64,65,65
69,67,72,74,76,76,77,77,66,62,65,65,72,70,69,67
70,70,69,67,65,70,72,74,65,65,63,63,62,62,63,65
70,65,70,72,74,75,72,70,63,60,65,65,65,67,65,65
72,70,70,70,69,67,65,70,65,65,65,65,63,63,62,62
72,74,70,65,70,72,74,75,63,65,63,60,65,65,65,67
72,70,72,70,70,67,69,70,65,65,65,65,65,64,65,65
69,67,67,65,64,65,65,70,65,64,62,60,60,60,60,65
70,72,74,75,74,74,72,72,67,69,70,72,72,70,70,69
74,72,74,75,77,75,74,72,70,65,65,67,69,69,65,65
71,71,69,74,74,74,73,71,66,64,66,66,67,69,67,66
73,71,71,73,74,74,76,74,64,62,66,66,66,68,69,69
74,76,78,78,74,74,76,78,71,73,74,66,67,69,69,69
76,74,76,74,73,71,71,71,70,71,73,71,70,66,66,65
67,69,71,69,67,67,66,64,62,62,62,62,62,61,62,61
62,67,69,71,72,71,69,67,57,64,62,62,69,62,62,62
67,69,71,69,67,67,66,64,62,62,62,62,62,61,62,61
62,67,69,71,72,71,69,67,57,64,62,62,69,62,62,62
71,72,74,72,71,69,69,71,67,67,66,67,67,67,66,67
74,74,76,74,74,72,71,71,67,67,67,67,66,64,62,64
69,71,74,74,72,72,71,69,66,67,67,66,64,66,67,66
67,69,71,67,71,72,74,72,64,66,67,64,67,67,69,67
67,67,67,66,66,64,67,67,64,64,64,64,63,59,64,64
67,64,67,69,69,71,69,69,62,60,62,64,66,67,67,66
67,64,67,67,69,69,71,69,64,60,64,62,64,66,67,67
69,67,74,74,76,74,72,71,66,62,67,65,64,66,66,67
69,67,69,71,71,69,69,67,63,64,62,62,67,67,66,66
72,72,72,69,71,72,74,76,64,65,67,65,65,67,67,67
74,76,77,74,74,72,72,71,69,69,69,67,65,64,66,67
69,71,72,74,72,71,71,69,65,65,64,69,69,69,68,64
72,72,72,69,71,72,74,76,64,65,67,65,65,67,67,67
74,76,77,74,74,72,72,71,69,69,69,67,65,64,66,67
69,71,72,74,72,71,71,69,65,65,64,69,69,69,68,64
74,76,76,71,72,74,72,72,67,67,67,62,64,65,64,69
71,72,74,74,69,71,72,71,68,69,69,67,66,66,64,62
71,69,71,72,69,67,72,71,67,67,67,64,66,62,64,62
71,69,71,72,74,72,71,71,64,66,65,64,69,69,69,68
76,76,76,78,78,76,73,74,69,69,69,69,69,69,69,71
73,71,73,74,71,71,71,69,69,68,69,69,69,66,68,64
73,71,73,74,71,71,71,69,69,68,69,69,69,66,68,64
71,71,71,71,73,73,71,71,68,66,64,64,64,64,64,68
73,75,76,76,75,76,76,78,69,69,68,66,66,68,69,69
78,76,74,74,73,73,74,73,71,73,73,71,71,70,71,69
69,69,64,66,68,69,71,72,64,62,60,60,59,57,64,64
74,72,71,71,69,72,72,71,64,64,65,64,64,69,67,65
74,74,76,69,69,64,66,68,71,69,68,64,62,60,60,59
69,71,72,74,72,71,71,69,57,64,64,64,64,65,64,64
72,72,74,74,74,76,76,77,69,64,69,71,69,68,69,69
79,72,72,77,77,76,74,74,67,69,67,69,74,67,67,67
64,67,67,69,71,71,72,72,59,64,64,64,65,64,64,69
71,71,69,67,67,72,72,71,69,68,64,64,65,67,69,69
71,71,72,69,69,67,67,65,67,65,67,67,65,65,64,64
65,65,64,64,67,67,69,71,62,60,59,59,64,64,64,65
71,72,72,71,71,69,67,67,64,64,69,69,68,64,64,65
72,72,71,71,71,72,69,69,67,69,69,67,65,67,67,65
67,67,65,65,65,64,64,69,65,64,64,62,60,59,60,65
69,67,67,67,72,72,71,71,65,65,64,62,64,66,67,62
71,69,69,67,67,72,67,67,67,67,66,62,64,64,64,62
69,69,64,64,69,67,65,65,60,59,61,62,64,64,64,62
64,64,64,69,69,69,69,67,62,61,60,60,63,63,62,62
65,64,65,62,62,60,60,67,62,60,60,60,59,55,55,62
69,71,73,74,76,76,69,69,64,64,69,69,69,68,68,66
68,68,66,66,64,66,66,68,66,64,64,63,59,62,61,59
69,71,73,74,71,69,69,71,64,64,64,66,64,64,64,64
73,74,76,76,69,69,68,68,69,69,69,68,68,66,66,64
66,66,64,66,66,68,69,71,64,63,59,62,61,59,64,64
73,74,71,69,73,73,71,71,64,66,64,64,69,69,64,66
73,74,73,71,71,69,71,66,68,66,64,66,68,66,68,61
66,68,69,69,69,71,73,74,62,64,64,62,61,66,64,64
69,71,71,69,66,66,64,66,64,64,64,64,62,61,59,61
68,69,71,69,73,74,76,76,62,64,64,64,69,69,71,73
71,71,69,73,73,73,73,71,66,64,61,69,71,69,68,66
73,73,69,69,71,71,73,73,66,65,61,66,68,68,69,66
73,69,71,71,73,71,69,68,67,66,66,68,69,68,66,64
66,71,71,71,69,68,66,66,62,62,61,68,66,64,64,63
72,71,71,71,69,72,72,72,69,69,69,68,64,64,69,67
71,71,69,69,68,68,68,69,65,64,64,62,62,64,65,64
74,74,72,71,71,71,69,72,69,71,69,69,69,68,64,64
72,72,71,71,69,69,68,68,69,67,65,64,64,62,62,64
68,69,69,71,71,72,74,72,65,64,66,68,68,69,69,69
71,72,72,71,69,69,67,72,67,67,66,67,67,66,62,60
74,76,74,72,72,77,77,76,67,67,67,69,67,69,71,72
74,72,71,72,72,74,76,76,71,67,67,65,64,62,67,69
71,71,74,72,72,71,69,69,67,67,67,67,66,67,67,66
69,67,69,69,71,71,67,67,66,62,66,64,63,66,59,64
67,66,66,66,64,76,76,74,63,64,63,63,59,67,67,66
74,73,73,71,71,74,74,72,66,67,66,66,66,66,67,67
72,71,71,69,69,69,67,69,69,69,67,67,66,66,62,64
72,71,69,67,67,67,69,71,67,67,66,62,64,62,60,62
72,74,72,72,71,69,71,72,64,67,67,66,67,66,67,67
69,69,67,72,71,72,74,74,67,66,62,67,65,67,67,67
64,67,67,69,69,67,67,72,60,64,62,60,62,64,65,67
72,71,72,72,71,69,69,74,67,67,67,67,67,65,67,69
72,71,72,71,71,69,64,67,69,68,69,69,68,64,60,64
67,69,69,67,67,72,72,71,62,60,62,64,65,67,67,67
72,72,71,69,69,74,72,71,67,67,67,65,67,69,69,68
72,71,71,69,69,69,69,69,69,69,68,64,64,62,64,66
64,66,67,69,67,72,72,71,59,59,64,66,64,64,69,67
72,72,71,71,69,69,74,72,67,69,69,67,67,65,65,64
73,69,71,73,76,74,74,73,69,66,68,69,71,69,71,69
76,74,73,71,71,73,73,69,69,69,69,69,68,69,69,66
71,73,76,74,74,73,76,74,68,69,71,69,71,69,69,69
73,71,71,73,71,71,71,73,69,69,68,69,68,64,68,69
71,69,71,68,68,69,71,73,68,66,68,65,65,66,68,69
69,69,69,69,71,69,68,66,68,66,64,66,66,66,64,63
69,68,68,73,73,73,75,72,66,64,66,68,66,68,69,68
76,71,73,68,69,71,71,71,64,64,64,64,64,63,64,66
62,64,66,67,69,69,69,67,57,57,62,62,64,62,61,59
67,66,64,69,71,71,73,74,61,62,61,64,66,68,69,71
73,71,71,69,62,64,66,67,69,69,68,64,57,57,62,62
69,69,69,67,67,66,64,69,64,62,61,59,61,62,61,64
71,71,73,74,73,71,71,69,66,68,69,71,69,69,68,64
69,74,73,71,71,69,67,66,64,66,64,62,64,66,64,57
71,71,71,78,78,76,76,78,66,67,67,66,68,70,71,73
76,78,76,76,74,74,73,74,66,66,71,73,66,68,70,71
73,71,71,71,76,76,74,73,71,66,64,66,68,68,68,69
74,76,74,73,71,71,69,69,69,69,69,69,69,68,64,66
74,73,71,73,74,73,74,76,66,66,66,66,64,64,66,67
78,76,74,73,78,78,78,78,69,67,66,66,66,64,62,66
78,78,76,76,76,74,73,74,71,69,67,66,64,64,64,62
67,69,69,71,72,74,76,77,62,64,64,64,69,67,67,65
76,74,74,73,74,74,76,74,67,65,64,64,65,65,64,71
72,71,71,69,69,68,69,74,64,64,62,60,62,64,64,67
72,71,72,69,69,67,65,69,67,65,67,65,65,64,60,62
69,71,72,72,72,74,76,76,64,64,64,64,64,67,67,67
76,76,74,74,72,72,71,71,67,72,72,71,71,69,69,68
69,69,76,76,77,77,76,76,68,64,69,69,69,70,70,69
76,74,74,74,74,74,76,76,67,67,64,66,67,67,67,69
74,74,74,72,72,72,72,74,69,67,65,65,62,64,65,65
76,74,72,71,71,71,69,69,64,64,64,66,64,62,62,59
62,69,69,67,74,74,72,71,57,62,65,64,66,68,69,69
71,69,71,72,71,72,69,67,62,60,67,67,67,67,65,64
65,64,62,69,69,69,69,67,62,61,57,64,62,64,63,64
67,65,64,62,60,69,65,72,65,57,57,58,57,64,62,60
72,69,69,67,65,67,67,69,67,67,65,64,62,61,62,64
67,65,64,62,60,60,65,65,64,62,60,59,57,59,61,62
69,65,67,69,70,72,70,70,65,62,64,65,67,69,69,67
69,69,70,72,72,72,72,67,65,65,65,65,64,65,67,64
67,69,67,65,65,64,60,65,62,60,60,60,59,60,64,62
67,69,70,72,70,69,67,69,60,60,60,60,62,62,64,64
65,67,69,70,72,70,70,69,62,60,60,60,62,62,67,66
69,70,72,72,67,67,69,67,65,65,65,65,64,62,60,60
65,65,64,60,65,67,69,69,60,59,60,55,60,58,57,60
67,67,67,69,67,67,72,74,59,55,59,62,59,62,67,67
72,71,72,74,76,76,74,72,67,67,69,71,72,71,69,69
71,69,67,67,67,72,72,71,67,62,59,62,62,62,62,62
71,74,74,69,69,71,73,74,62,62,62,62,62,67,69,71
73,74,74,69,69,69,71,72,69,69,69,62,67,62,67,69
71,69,69,67,69,71,69,71,67,67,62,59,62,67,62,67
72,74,72,74,76,74,72,74,69,71,69,71,72,72,67,67
71,73,71,69,73,74,76,76,66,68,68,66,69,69,71,69
76,74,73,74,76,74,74,73,68,66,64,64,64,66,64,64
73,74,73,71,71,69,71,73,64,71,64,64,62,61,59,57
73,73,73,73,69,73,74,76,69,67,66,67,66,69,69,68
76,76,73,74,76,74,74,74,69,71,69,71,73,73,71,70
74,73,73,74,73,73,71,69,71,70,68,66,66,64,62,61
66,68,69,68,66,64,64,69,63,64,64,64,63,59,61,61
69,71,71,73,73,71,73,74,62,62,64,64,66,68,69,69
72,70,69,74,74,74,76,77,66,67,66,67,69,70,70,69
76,74,73,74,74,72,69,70,67,65,64,66,67,63,62,62
70,72,74,72,70,69,70,77,67,67,65,67,65,65,65,70
79,77,74,72,70,69,67,66,70,69,69,69,67,63,62,62
67,74,74,74,74,74,76,74,62,62,64,66,67,67,67,66
76,74,74,74,74,74,71,72,67,66,69,67,66,67,67,67
74,72,71,69,74,72,72,71,67,69,67,66,66,67,69,69
71,73,74,73,71,71,73,74,66,66,71,70,66,66,66,71
73,71,78,78,76,74,73,73,70,66,66,67,69,66,66,66
74,74,76,76,78,78,78,76,66,66,71,69,69,69,71,73
74,73,73,71,78,76,76,74,66,66,64,62,71,71,70,71
73,78,78,76,74,74,73,73,70,71,69,68,69,71,69,69
74,74,74,76,76,76,78,78,69,67,66,71,69,68,73,71
69,67,66,69,71,73,74,74,63,64,63,62,67,67,66,67
74,73,73,71,69,69,71,73,69,64,66,67,66,64,62,62
74,74,69,69,71,73,74,73,67,66,66,64,62,64,66,66
73,71,71,69,71,73,74,74,64,62,64,66,67,67,62,64
67,69,67,66,66,66,66,66,64,63,64,64,62,61,62,64
76,72,71,72,72,71,68,69,68,64,64,64,63,64,64,64
69,68,76,76,76,77,76,74,62,64,68,69,71,69,67,67
74,74,74,72,71,72,72,74,69,67,65,64,67,65,64,62
74,73,73,71,71,69,67,66,66,64,66,67,66,64,62,62
71,71,69,74,74,73,73,71,62,62,62,66,65,66,64,62
78,78,76,74,76,74,74,73,69,71,64,66,67,66,66,64
73,71,71,69,67,66,71,71,66,67,66,64,62,62,62,62
69,74,74,73,73,71,71,69,62,66,65,66,64,62,64,66
76,74,76,74,74,74,74,76,64,66,67,66,69,69,67,67
76,74,71,73,74,74,73,73,66,66,64,64,64,64,64,64
74,76,74,71,73,74,74,74,66,67,66,64,64,62,64,66
73,78,79,78,76,78,76,74,66,66,64,64,64,69,67,66
74,73,74,73,74,73,73,71,64,64,66,67,66,64,66,68
69,69,68,69,78,76,74,73,66,66,64,64,74,70,71,70
78,79,78,76,76,78,76,74,73,71,71,71,69,69,69,69
74,73,74,74,74,74,74,76,64,66,66,69,69,67,66,67
67,67,67,67,66,62,67,67,62,63,62,60,62,57,62,64
69,70,70,72,70,69,69,70,66,67,67,69,67,66,66,67
72,74,72,70,75,75,75,74,69,70,70,65,67,69,70,70
73,72,72,72,70,70,70,69,70,70,70,69,65,67,65,63
67,67,65,65,63,63,63,63,65,63,63,62,62,60,58,60
66,67,69,71,69,69,69,67,62,61,62,62,62,61,59,61
66,66,69,71,73,74,74,73,61,62,66,68,70,71,68,68
73,73,71,66,67,69,71,69,66,64,62,62,61,62,62,62
69,69,67,66,66,69,71,73,61,59,61,61,62,66,68,70
74,74,73,73,73,71,76,74,71,68,68,66,64,62,64,64
73,74,73,71,71,71,69,69,64,66,66,66,62,64,64,64
69,71,71,73,74,74,74,73,64,64,66,68,69,64,64,64
69,69,71,71,69,67,66,66,64,66,67,66,64,64,64,62
67,65,63,63,65,65,67,68,63,62,62,60,60,58,58,56
70,72,72,70,70,68,68,67,63,63,68,68,67,67,65,63
65,65,65,63,67,70,68,68,63,63,62,58,63,65,63,65
67,68,68,68,68,68,67,67,63,63,62,63,65,62,63,63
68,70,68,67,67,65,65,67,63,64,65,61,60,60,62,63
65,65,65,67,69,70,70,70,60,60,62,63,63,61,63,65
69,70,70,67,67,72,70,68,65,65,65,63,65,67,67,63
68,67,67,65,67,68,70,70,65,58,60,62,63,63,63,58
66,66,71,73,74,73,73,71,62,64,66,66,66,66,64,62
73,71,70,66,69,69,67,66,67,67,66,61,66,66,64,64
66,71,71,70,71,66,66,71,62,62,67,66,66,62,64,66
73,74,73,73,71,73,71,70,66,66,66,64,62,67,67,66
66,69,69,67,66,66,71,71,61,66,66,64,64,62,62,67
70,71,73,74,76,78,78,76,66,66,66,66,69,69,69,71
76,74,74,78,78,76,74,73,69,69,69,69,71,73,66,67
73,69,71,73,74,76,74,74,69,66,68,69,71,73,73,71
74,73,73,76,76,71,74,73,69,68,69,69,69,68,71,69
69,68,64,69,71,71,73,74,66,64,59,64,66,68,69,71
76,74,73,71,73,69,71,73,73,71,69,68,68,66,64,64
74,76,74,74,73,73,74,76,64,66,66,65,66,66,66,64
76,76,71,73,73,73,69,68,69,68,66,64,63,61,66,64
62,62,67,69,71,76,76,74,59,60,62,62,62,64,66,67
71,72,74,69,69,67,62,62,69,67,67,67,66,62,59,60
67,69,71,76,76,74,74,72,62,62,62,64,66,67,66,66
74,69,69,67,74,76,76,69,67,67,66,62,67,67,67,66
69,69,74,74,74,67,71,69,66,67,69,67,66,64,64,64
74,74,72,71,71,69,71,72,67,66,64,62,64,66,67,67
62,64,65,67,69,67,72,71,57,57,62,64,65,64,64,64
69,69,67,72,71,69,69,67,64,64,64,64,64,65,64,62
65,65,64,64,62,62,64,65,57,62,62,61,57,57,57,62
67,69,67,72,71,69,69,67,64,65,64,64,64,64,64,64
72,71,69,69,67,65,65,64,64,64,65,64,62,57,62,62
64,62,62,67,67,67,64,64,61,57,57,62,60,59,60,62
69,69,68,69,69,74,74,76,64,64,64,64,64,69,67,67
74,72,72,74,72,71,71,71,67,69,67,65,65,59,60,62
69,71,72,71,69,69,67,69,60,64,64,62,60,62,64,57
67,65,64,62,64,65,67,69,57,62,61,57,57,62,64,64
67,65,67,65,64,62,74,74,61,62,64,62,61,57,69,67
70,72,74,72,70,70,69,67,65,65,65,65,65,64,65,64
65,70,72,74,75,74,72,72,60,67,65,65,63,65,65,63
70,70,72,74,72,70,70,69,62,65,65,65,65,65,64,65
67,65,70,72,74,75,74,72,64,60,67,65,65,63,65,65
72,70,74,75,75,77,77,77,63,62,70,69,67,65,67,68
75,74,72,74,77,77,79,77,67,67,67,66,65,70,70,69
75,74,74,72,74,75,77,75,67,65,67,69,70,70,70,70
75,74,72,70,70,72,74,74,69,70,69,67,65,63,62,64
74,70,74,75,77,75,75,74,66,67,67,67,68,67,69,70
65,65,65,67,69,69,67,69,60,60,59,60,60,62,64,64
70,70,69,69,67,67,67,67,65,67,67,65,65,64,62,64
67,65,69,70,70,69,69,67,64,60,65,65,67,67,65,65
67,65,64,65,67,72,72,70,64,62,55,60,60,64,66,67
70,69,69,67,65,64,64,65,64,65,64,62,62,62,60,60
65,65,62,60,69,69,70,70,62,60,59,55,65,63,62,64
69,67,67,65,65,65,69,67,65,65,64,64,62,64,65,65
77,79,77,75,74,75,77,77,70,70,69,69,70,70,65,67
72,74,76,77,77,79,77,77,69,70,70,69,70,70,69,67
72,74,75,75,74,72,70,70,65,65,67,69,70,69,65,65
72,74,75,74,75,77,77,77,65,65,67,65,67,69,69,70
72,72,70,69,67,65,65,70,69,67,65,62,64,60,60,65
70,72,74,75,77,77,77,75,67,69,70,70,70,72,74,74
75,74,74,72,74,74,75,77,72,70,69,67,66,70,70,69
77,79,77,77,72,72,74,76,71,72,72,70,69,67,65,67
77,77,77,79,79,77,72,74,69,70,69,67,69,70,69,69
75,74,74,72,70,70,72,74,67,65,67,69,65,67,67,67
72,72,74,75,77,77,77,77,65,63,62,62,62,63,65,67
75,74,72,72,67,69,70,72,67,67,67,65,63,63,62,65
74,70,67,67,67,65,72,74,65,65,65,62,63,62,65,65
74,72,72,71,69,69,69,69,67,67,66,67,67,66,64,66
67,69,71,72,72,67,65,64,62,65,65,65,64,62,62,60
65,65,64,62,62,62,62,60,60,59,60,60,59,57,59,55
74,72,72,71,69,69,69,69,67,67,66,67,67,66,64,66
67,69,71,72,72,67,65,64,62,65,65,65,64,62,62,60
65,65,64,62,62,62,62,60,60,59,60,60,59,57,59,55
67,67,67,67,67,69,69,69,64,62,60,62,65,64,62,60
67,69,71,72,72,71,69,69,64,66,67,67,66,67,67,66
69,69,67,71,72,74,74,74,64,66,62,67,67,67,67,67
74,74,69,69,67,67,64,64,66,64,66,65,64,62,62,61
62,64,66,67,65,64,66,66,57,60,60,62,62,60,60,64
66,66,67,62,64,65,64,64,62,60,59,59,59,57,55,60
62,64,62,62,60,67,67,67,59,60,60,59,55,62,60,55
67,69,70,70,69,67,66,67,62,62,67,65,63,63,62,62
69,70,69,67,70,72,72,72,66,67,66,62,67,65,67,69
74,70,72,72,72,72,74,74,70,62,67,70,69,67,66,67
